text	labels
Bleheratherina	O
pierucciae	O
is	O
described	O
from	O
Tontouta	O
(	O
26	O
°	O
56.9	O
’S	O
166	O
°	O
14’E	O
)	O
and	O
Pirogues	O
Rivers	O
,	O
New	O
Caledonia	O
.	O
The	O
new	O
species	O
has	O
been	O
compared	O
with	O
other	O
IndoPacific	O
atherinids	O
,	O
both	O
freshwater	B-DISTRIBUTION_DESCRIPTOR
and	O
marine	B-DISTRIBUTION_DESCRIPTOR
(	O
representatives	O
of	O
genera	O
Atherinason	O
,	O
Atherinomorus	O
,	O
Atherinosoma	O
,	O
Atherion	O
,	O
Craterocephalus	O
,	O
Hypoatherina	O
,	O
Kestratherina	O
,	O
Leptatherina	O
and	O
Stenatherina	O
)	O
and	O
an	O
atherionid	O
(	O
Atherion	O
)	O
.	O
Dyer	O
&	O
Chernoff	O
’s	O
(	O
1996	O
)	O
division	O
of	O
Atherinidae	O
into	O
three	O
subfamilies	O
has	O
been	O
briefly	O
reviewed	O
and	O
a	O
fourth	O
subfamily	O
,	O
Bleheratherininae	O
,	O
is	O
now	O
added	O
to	O
this	O
list	O
since	O
the	O
new	O
species	O
is	O
distinct	O
and	O
different	O
from	O
all	O
known	O
atherinids	O
.	O
Bleheratherina	O
pierucciae	O
can	O
be	O
immediately	O
recognised	O
by	O
the	O
unusual	O
structure	O
of	O
its	O
mouthparts	O
.	O
Other	O
distinct	O
osteological	O
characters	O
confirm	O
that	O
it	O
merits	O
a	O
subfamilial	O
status	O
.	O
The	O
evolutionary	O
history	O
of	O
this	O
new	O
species	O
must	O
have	O
commonality	O
with	O
the	O
Australian	O
coastal	B-DISTRIBUTION_DESCRIPTOR
and	O
marine	B-DISTRIBUTION_DESCRIPTOR
fishes	O
,	O
having	O
probably	O
been	O
derived	O
from	O
a	O
common	O
ancestor	O
likely	O
to	O
have	O
occurred	O
in	O
a	O
marine	B-DISTRIBUTION_DESCRIPTOR
environment	I-DISTRIBUTION_DESCRIPTOR
i.e.	O
Arafura	O
Sea	O
.	O
The	O
zoogeographic	O
events	O
,	O
which	O
led	O
to	O
the	O
separation	O
of	O
New	O
Caledonia	O
from	O
Australia	O
and	O
its	O
emergence	O
as	O
a	O
separate	O
island	O
,	O
post	O
Palaeocene	O
,	O
must	O
have	O
led	O
to	O
a	O
divergence	O
of	O
the	O
ancestral	O
fauna	B-DISTRIBUTION_DESCRIPTOR
which	O
invaded	O
the	O
freshwaters	B-DISTRIBUTION_DESCRIPTOR
of	O
New	O
Caledonia	O
.	O
The	O
marine	B-DISTRIBUTION_DESCRIPTOR
catfish	O
genus	O
Paraplotosus	O
Bleeker	O
is	O
reviewed	O
.	O
Three	O
species	O
are	O
recognised	O
:	O
P.	O
albilabris	O
(	O
Valenciennes	O
)	O
from	O
the	O
Indo	B-DISTRIBUTION_DESCRIPTOR
-	I-DISTRIBUTION_DESCRIPTOR
Australian	I-DISTRIBUTION_DESCRIPTOR
Archipelago	I-DISTRIBUTION_DESCRIPTOR
,	O
P.	O
muelleri	O
(	O
Klunzinger	O
)	O
from	O
north	B-DISTRIBUTION_DESCRIPTOR
-	I-DISTRIBUTION_DESCRIPTOR
western	I-DISTRIBUTION_DESCRIPTOR
Australia	I-DISTRIBUTION_DESCRIPTOR
and	O
adjacent	B-DISTRIBUTION_DESCRIPTOR
Northern	I-DISTRIBUTION_DESCRIPTOR
Territory	I-DISTRIBUTION_DESCRIPTOR
,	O
and	O
an	O
undescribed	O
species	O
from	O
northern	B-DISTRIBUTION_DESCRIPTOR
Australia	I-DISTRIBUTION_DESCRIPTOR
.	O
Paraplotosus	O
butleri	O
,	O
new	O
species	O
,	O
is	O
described	O
from	O
40	O
specimens	O
,	O
26	B-BODY_SIZE
-	I-BODY_SIZE
325	I-BODY_SIZE
mm	I-BODY_SIZE
SL	I-BODY_SIZE
,	O
collected	O
mainly	O
from	O
coastal	B-DISTRIBUTION_DESCRIPTOR
seas	I-DISTRIBUTION_DESCRIPTOR
of	O
northwestern	O
Australia	O
.	O
It	O
is	O
clearly	O
distinguishable	O
from	O
congeners	O
by	O
its	O
black	B-DISTRIBUTION_DESCRIPTOR
colouration	I-DISTRIBUTION_DESCRIPTOR
,	O
longer	O
dorsal	B-DISTRIBUTION_DESCRIPTOR
fin	I-DISTRIBUTION_DESCRIPTOR
,	O
longer	O
barbels	B-DISTRIBUTION_DESCRIPTOR
,	O
and	O
greater	O
number	O
oflowerlimb	B-DISTRIBUTION_DESCRIPTOR
gill	I-DISTRIBUTION_DESCRIPTOR
rakers	I-DISTRIBUTION_DESCRIPTOR
and	O
upper	O
procurrent	O
caudal	B-DISTRIBUTION_DESCRIPTOR
rays	I-DISTRIBUTION_DESCRIPTOR
.	O
Paraplotosus	O
muelleri	O
and	O
P.	O
albilabris	O
are	O
similar	O
in	O
appearance	O
and	O
habits	O
,	O
but	O
are	O
separable	O
on	O
the	O
basis	O
of	O
dorsal	B-DISTRIBUTION_DESCRIPTOR
fin	I-DISTRIBUTION_DESCRIPTOR
height	B-LIFE_STAGE
and	O
eye	B-LIFE_STAGE
size	I-LIFE_STAGE
,	O
which	O
are	O
invariably	O
greater	O
in	O
P.	O
muelleri	O
.	O
Newborn	B-LIFE_STAGE
young	I-LIFE_STAGE
measured	O
from	O
2	B-BODY_SIZE
to	I-BODY_SIZE
20	I-BODY_SIZE
mm	I-BODY_SIZE
in	O
length	B-BODY_SIZE
,	O
which	O
was	O
a	O
narrower	O
size	O
range	O
than	O
the	O
17	B-BODY_SIZE
-	I-BODY_SIZE
fold	I-BODY_SIZE
difference	O
that	O
occurred	O
in	O
adult	B-BODY_SIZE
size	I-BODY_SIZE
.	O
Newborn	B-LIFE_STAGE
body	B-BODY_SIZE
size	I-BODY_SIZE
had	O
no	O
relationship	O
to	O
adult	B-LIFE_STAGE
size	O
.	O
Both	O
eggs	B-LIFE_STAGE
and	O
young	B-LIFE_STAGE
were	O
larger	O
than	O
expected	O
among	O
marine	B-DISTRIBUTION_DESCRIPTOR
teleosts	O
,	O
even	O
when	O
considering	O
only	O
those	O
with	O
parental	O
care	O
,	O
but	O
brood	B-BODY_SIZE
size	I-BODY_SIZE
at	O
release	O
was	O
lower	O
than	O
expected	O
,	O
perhaps	O
because	O
the	O
young	B-LIFE_STAGE
were	O
more	O
developed	O
.	O
The	O
size	B-BODY_SIZE
of	O
adults	B-LIFE_STAGE
,	O
eggs	B-LIFE_STAGE

and	O
young	B-LIFE_STAGE
increased	O
with	O
increasing	O
latitude	O
,	O
although	O
brood	B-BODY_SIZE
size	I-BODY_SIZE
did	O
