text	labels
 The basic procedure in field experiments examining adult - larval interactions is to establish plots from which adults which may interact with settling larvae are removed or in which densities of such adults are varied , and to compare the larval densities there with those in control plots .	 O O O O O O O B-LIFE_STAGE I-LIFE_STAGE I-LIFE_STAGE O O O O O O O B-LIFE_STAGE O O O O O B-LIFE_STAGE O O O O O O O O B-LIFE_STAGE O O O O O O O B-LIFE_STAGE O O O O O O O O
 Although cages are most commonly used to assess the influence of larger predators such as fish , crabs , and epibenthic predatory benthos on infauna , they also provide a good opportunity to study competitive or adult - larval interations between infaunal species which can attain high densities within cages .	 O O O O O O O O O O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O B-LIFE_STAGE O B-LIFE_STAGE O O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O
 Atherinids are small marine , estuarine and freshwater fishes not exceeding 120 mm SL ( a soon to be described species of Craterocephalus may reach 300 mm SL ) , occurring predominantly in the Old World , with only Alepidomus evermanni ( freshwaters of Cuba ) and two marine species , Atherinomorus stipes and Hypoatherina harringtonensis ( predominantly in the shore waters of the Caribbean ) known from the New World .	 O O O B-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O O O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O O O O O O O O O O O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O O O O O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O
 In the Southeast Pacific , the family is only known only from Tumaco , Colombia , according to Dyer .	 O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O O O O O O
 All freshwater atherinid species are derived from marine ancestors and until recently have only been known from the rivers of Australia , New Guinea and some islands in the vicinity of the latter .	 O B-DISTRIBUTION_DESCRIPTOR O O O O O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O
 This study evaluated the connectivity between an intermittently closed - open lagoon ( LR ) and adjacent coastal waters ( CW ) , and the influence of that connection on ichthyoplankton assemblages .	 O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O
 We performed field surveys along a year in LR and CW to capture different sandbar states ( open / closed ) and lagoon - sea connectivity processes ( e.g. lagoon discharges , marine intrusion , overwashing ) .	 O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O O O B-DISTRIBUTION_DESCRIPTOR O O O O O O O B-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O O O
 Results showed differences in environmental conditions and ichthyoplankton communities between LR and CW , and also evidenced different mechanisms of exchange of water and ichthyoplankton .	 O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O
 At least three estuarine species were found to spawn and use LR as a nursery ground .	 O O O B-DISTRIBUTION_DESCRIPTOR O O O O O O O B-DISTRIBUTION_DESCRIPTOR O O O O O
 Larval stages of six marine species were found at CW .	 B-LIFE_STAGE O O O B-DISTRIBUTION_DESCRIPTOR O O O O B-DISTRIBUTION_DESCRIPTOR O
