-DOCSTART- -X- O O
The	O
basic	O
procedure	O
in	O
field	O
experiments	O
examining	O
adult	B-Life_stage
-	I-Life_stage
larval	I-Life_stage
interactions	O
is	O
to	O
establish	O
plots	O
from	O
which	O
adults	B-Life_stage
which	O
may	O
interact	O
with	O
settling	O
larvae	B-Life_stage
are	O
removed	O
or	O
in	O
which	O
densities	O
of	O
such	O
adults	B-Life_stage
are	O
varied	O
,	O
and	O
to	O
compare	O
the	O
larval	B-Life_stage
densities	O
there	O
with	O
those	O
in	O
control	O
plots	O
.	O
Although	O
cages	O
are	O
most	O
commonly	O
used	O
to	O
assess	O
the	O
influence	O
of	O
larger	O
predators	O
such	O
as	O
fish	O
,	O
crabs	O
,	O
and	O
epibenthic	B-Distribution_descriptor
predatory	I-Distribution_descriptor
benthos	I-Distribution_descriptor
on	O
infauna	B-Distribution_descriptor
,	O
they	O
also	O
provide	O
a	O
good	O
opportunity	O
to	O
study	O
competitive	O
or	O
adult	B-Life_stage
-	O
larval	B-Life_stage
interations	O
between	O
infaunal	B-Distribution_descriptor
species	O
which	O
can	O
attain	O
high	O
densities	O
within	O
cages	O
.	O
Atherinids	O
are	O
small	O
marine	B-Distribution_descriptor
,	O
estuarine	B-Distribution_descriptor
and	O
freshwater	B-Distribution_descriptor
fishes	O
not	O
exceeding	O
120	B-Body_size
mm	I-Body_size
SL	I-Body_size
(	O
a	O
soon	O
to	O
be	O
described	O
species	O
of	O
Craterocephalus	O
may	O
reach	O
300	B-Body_size
mm	I-Body_size
SL	I-Body_size
)	O
,	O
occurring	O
predominantly	O
in	O
the	O
Old	O
World	O
,	O
with	O
only	O
Alepidomus	B-Distribution_descriptor
evermanni	I-Distribution_descriptor
(	O
freshwaters	B-Distribution_descriptor
of	O
Cuba	O
)	O
and	O
two	O
marine	B-Distribution_descriptor
species	O
,	O
Atherinomorus	O
stipes	O
and	O
Hypoatherina	O
harringtonensis	O
(	O
predominantly	O
in	O
the	O
shore	B-Distribution_descriptor
waters	I-Distribution_descriptor
of	O
the	O
Caribbean	O
)	O
known	O
from	O
the	O
New	O
World	O
.	O
In	O
the	O
Southeast	B-Distribution_descriptor
Pacific	I-Distribution_descriptor
,	O
the	O
family	O
is	O
only	O
known	O
only	O
from	O
Tumaco	O
,	O
Colombia	O
,	O
according	O
to	O
Dyer	O
.	O
All	O
freshwater	B-Distribution_descriptor
atherinid	O
species	O
are	O
derived	O
from	O
marine	B-Distribution_descriptor
ancestors	O
and	O
until	O
recently	O
have	O
only	O
been	O
known	O
from	O
the	O
rivers	B-Distribution_descriptor
of	I-Distribution_descriptor
Australia	I-Distribution_descriptor
,	O
New	B-Distribution_descriptor
Guinea	I-Distribution_descriptor
and	O
some	O
islands	B-Distribution_descriptor
in	I-Distribution_descriptor
the	I-Distribution_descriptor
vicinity	I-Distribution_descriptor
of	I-Distribution_descriptor
the	I-Distribution_descriptor
latter	I-Distribution_descriptor
.	O
This	O
study	O
evaluated	O
the	O
connectivity	O
between	O
an	O
intermittently	O
closed	B-Distribution_descriptor
-	I-Distribution_descriptor
open	I-Distribution_descriptor
lagoon	I-Distribution_descriptor
(	I-Distribution_descriptor
LR	I-Distribution_descriptor
)	I-Distribution_descriptor
and	O
adjacent	O
coastal	B-Distribution_descriptor
waters	I-Distribution_descriptor
(	I-Distribution_descriptor
CW	I-Distribution_descriptor
)	I-Distribution_descriptor
,	O
and	O
the	O
influence	O
of	O
that	O
connection	O
on	O
ichthyoplankton	B-Distribution_descriptor
assemblages	I-Distribution_descriptor
.	O
We	O
performed	O
field	O
surveys	O
along	O
a	O
year	O
in	B-Distribution_descriptor
LR	I-Distribution_descriptor
and	O
CW	B-Distribution_descriptor
to	O
capture	O
different	O
sandbar	B-Distribution_descriptor
states	O
(	O
open	O
/	O
closed	O
)	O
and	O
lagoon	B-Distribution_descriptor
-	O
sea	B-Distribution_descriptor
connectivity	O
processes	O
(	O
e.g.	O
lagoon	O
discharges	O
,	O
marine	O
intrusion	O
,	O
overwashing	O
)	O
.	O
Results	O
showed	O
differences	O
in	O
environmental	O
conditions	O
and	O
ichthyoplankton	O
communities	O
between	O
LR	B-Distribution_descriptor
and	O
CW	B-Distribution_descriptor
,	O
and	O
also	O
evidenced	O
different	O
mechanisms	O
of	O
exchange	O
of	O
water	B-Distribution_descriptor
and	O
ichthyoplankton	B-Distribution_descriptor
.	O
At	O
least	O
three	O
estuarine	B-Distribution_descriptor
species	O
were	O
found	O
to	O
spawn	O
and	O
use	O
LR	B-Distribution_descriptor
as	O
a	O
nursery	O
ground	O
.	O
Larval	B-Life_stage
stages	O
of	O
six	O
marine	B-Distribution_descriptor
species	O
were	O
found	O
at	O
CW	B-Distribution_descriptor
.	O
Environmental	B-Distribution_descriptor
factors	I-Distribution_descriptor
(	O
e.g.	O
wind	B-Distribution_descriptor
and	O

runoff	B-Distribution_descriptor
)	O
and	O
species	O
-	O
specific	O
traits	O
(	O
e.g.	O
life	O
cycle	O
strategy	O
,	O
spawning	O
season	O
)	O
determined	O
ichthyoplankton	B-Distribution_descriptor
exchange	O
vs.	O
retention	O
.	O
Marine	B-Distribution_descriptor
estuarine	B-Distribution_descriptor
-	O
related	O
species	O
entered	O
LR	B-Distribution_descriptor
mostly	O
during	O
summer	O
-	O
autumn	O
,	O
at	O
their	O
peak	O
abundance	O
in	O
CW	B-Distribution_descriptor
.	O
Sandbar	B-Distribution_descriptor
closure	O
did	O
not	O
impede	O
the	O
entrance	O
of	O
these	O
species	O
.	O
Overwashing	O
events	O
(	O
closed	B-Distribution_descriptor
bar	I-Distribution_descriptor
)	O

and	O
light	O
onshore	B-Distribution_descriptor
winds	I-Distribution_descriptor
during	O
the	O
open	B-Distribution_descriptor
-	I-Distribution_descriptor
sandbar	I-Distribution_descriptor
period	O
were	O
the	O
most	O
important	O
process	O
that	O
promoted	O
the	O
transport	O
of	O
these	O
larvae	B-Life_stage
into	O
LR	B-Distribution_descriptor
.	O
Conversely	O
,	O
there	O
was	O
no	O
evidence	O
of	O
entrance	O
of	O
marine	B-Body_size
estuarine	I-Body_size
-	O
independent	B-Life_stage
larvae	I-Life_stage
to	O
LR	O
.	O
Eggs	B-Life_stage
and	O
larvae	B-Life_stage
of	O
estuarine	B-Distribution_descriptor
species	O
that	O
spawned	O
within	O
LR	B-Distribution_descriptor
were	O
effectively	O
retained	O
there	O
,	O
except	O
when	O
heavy	B-Distribution_descriptor
rains	I-Distribution_descriptor
led	O
to	O
severe	O
lagoon	B-Distribution_descriptor
discharges	O
.	O
Similarly	O
,	O
unusual	O
strong	O
onshore	B-Distribution_descriptor
winds	I-Distribution_descriptor
advected	O
eggs	B-Life_stage
from	O
CW	B-Distribution_descriptor
to	O
LR	B-Distribution_descriptor
,	O
possibly	O
reducing	O
their	O
survival	O
.	O
Generally	O
,	O
eggs	B-Life_stage
were	O
more	O
vulnerable	O
to	O
drift	O
than	O
larvae	B-Life_stage
.	O
Many	O
of	O
the	O
estuarine	B-Distribution_descriptor
larvae	I-Distribution_descriptor
that	O
drifted	O
out	O
of	O
the	O
lagoon	B-Distribution_descriptor
seemed	O
to	O
survive	O
,	O
suggesting	O
a	O
loss	O
of	O
individuals	O
from	O
the	O
lagoon	B-Distribution_descriptor
population	O
but	O
a	O
potential	O
contribution	O
to	O
the	O
genetic	O
flux	O
among	O
coastal	B-Distribution_descriptor
populations	O
.	O
There	O
is	O
an	O
urgent	O
need	O
to	O
develop	O
predictive	O
indicators	O
of	O
the	O
effect	O
of	O

species	O
loss	O
on	O
ecosystem	O
functioning	O
.	O
Body	B-Body_size
size	I-Body_size
is	O
often	O
considered	O
as	O
a	O
good	O
indicator	O
because	O
of	O
its	O
relationship	O
to	O
extinction	O
risk	O
and	O
several	O
functional	O
traits	O
.	O
Here	O
,	O
we	O
examined	O
the	O
predictive	O
capacity	O
of	O
species	O
body	B-Body_size
size	I-Body_size
in	O
marine	B-Distribution_descriptor
and	O
freshwater	B-Distribution_descriptor
multitrophic	O
systems	O
.	O
We	O
found	O
a	O
significant	O
,	O
but	O
weak	O
,	O
effect	O
of	O
body	B-Body_size
size	I-Body_size
on	O
functioning	O
.	O
The	O
effect	O
was	O
much	O
stronger	O
when	O
considering	O
the	O
effect	O
of	B-Body_size
body	I-Body_size
size	I-Body_size
within	O
trophic	O
position	O
levels	O
.	O
Compared	O
to	O
extinctions	O
ordered	O
by	O
body	B-Body_size
size	I-Body_size
,	O
random	O
extinction	O
sequences	O
had	O
lower	O
multiple	O
species	O
loss	O
effects	O
on	O
functioning	O
.	O
Our	O
study	O
is	O
the	O
first	O
to	O
show	O
experimentally	O
,	O
in	O
multitrophic	O
systems	O
,	O
a	O
more	O
negative	O
impact	O
of	O
ordered	O
extinction	O
sequences	O
on	O
ecosystem	O
functioning	O
than	O
random	O
losses	O
.	O
Our	O
results	O
suggest	O
apparent	O
ease	O
in	O
predicting	O
species	O
loss	O
effect	O
on	O
functioning	O
based	O
on	O
easily	O
measured	O
ecological	O
traits	O
that	O
are	O
body	B-Body_size
size	I-Body_size
and	O
trophic	O
position	O
.	O
Twenty	O
-	O
eight	O
specimens	O
of	O
the	O
large	O
notothenioid	O
Dissostichus	O
mawsoni	O
were	O
dissected	O
after	O
capture	O
on	O
a	O
set	O
line	O
near	O
the	O
southern	O
limit	O
of	O
its	O
range	O
in	O
McMurdo	O
Sound	O
,	O
Antarctica	O
.	O
Total	B-Body_size
length	I-Body_size
(	I-Body_size
LT	I-Body_size
)	I-Body_size
averaged	O
127.3	B-Body_size
cm	I-Body_size
(	O
range	O
90±162	B-Body_size
cm	I-Body_size
)	O
and	O
weight	B-Body_size
(	I-Body_size
W	I-Body_size
)	I-Body_size
was	O
26.7	B-Body_size
kg	I-Body_size
(	O
range	O
10.4±60.3	B-Body_size
kg	I-Body_size
)	O
.	O
The	O
length	B-Body_size
-	I-Body_size
weight	I-Body_size
relationship	O
was	O
W=3.44	B-Body_size
	O
10ÿ5	O
L2:85	O
T	O
(	O
n	O
	O
28	O
,	O
r2	O
	O
0.96	O
)	O
.	O
Subcutaneous	O
lipid	B-Body_size
thickness	I-Body_size
averaged	I-Body_size
2.6	I-Body_size
mm	I-Body_size
and	O
showed	O
no	O
dierence	O
due	O
to	O
sex	O
,	O
but	O
a	O
signi	O
®	O
cant	O
weak	O
relationship	O
to	O
W	B-Body_size
and	O
LT	B-Body_size
.	O
Hepatosomatic	O
index	O
(	O
IH	O
)	O
was	O
1.6	O
%	O
for	O
females	O
and	O
1.7	O
%	O
for	O
males	O
;	O
gonadosomatic	O
index	O
(	O
IG	O
)	O
was	O
0.9	O
%	O
for	O
females	O
and	O
0.2	O
%	O
for	O
males	O
.	O
Although	O
specimens	O
were	O
large	O
and	O
sexually	O
mature	O
,	O
the	O
histology	O
indicated	O
that	O
the	O
gonads	O
of	O
this	O
November	O
sample	O
were	O
in	O
a	O
resting	O
stage	O
.	O
Testes	O
lacked	O
spermatids	O
and	O
spermatozoa	O
.	O
Oocytes	O
were	O
in	O
the	O
previtellogenic	O
stage	O
(	O
91.2	O
%	O
)	O
or	O
in	O
the	O
®	O
rst	O
stage	O
of	O
vitellogenesis	O
(	O
8.8	O
%	O
)	O
.	O
A	O
few	O
atretic	O
oocytes	O
and	O
empty	O
follicles	O
indicated	O
that	O
some	O
females	O
in	O
this	O
sample	O
had	O
spawned	O
previously	O
.	O
A	O
summary	O
of	O
the	O
life	O
-	O
cycle	O
is	O
also	O
presented	O
The	O
effect	O
of	O
body	B-Body_size
size	I-Body_size
on	O
spatial	O
resource	O
competition	O
and	O
reproductive	O
isolation	O
was	O
examined	O
in	O
a	O
sister	O
species	O
pair	O
of	O
subtidal	O
triplefin	O
fishes	O
(	O
F.	O
Tripterygiidae	O
)	O
in	O
New	O
Zealand	O
.	O
Ruanoho	O
decemdigitatus	O
and	O
Ruanoho	O
whero	O
have	O
overlapping	O
sympatric	O
distributions	O
and	O
differ	O
in	O
body	B-Body_size
size	I-Body_size
,	O
attaining	O
a	O
total	B-Body_size
length	I-Body_size
of	O
12	B-Body_size
cm	I-Body_size
and	I-Body_size
9	I-Body_size
cm	I-Body_size
,	O
respectively	O
.	O
R.	O
decemdigitatus	O
was	O
most	O
commonly	O
found	O
in	O
sheltered	B-Distribution_descriptor
areas	I-Distribution_descriptor
shallower	I-Distribution_descriptor
than	I-Distribution_descriptor
5	I-Distribution_descriptor
m	I-Distribution_descriptor
,	O
while	O
R.	O
whero	O
was	O
frequently	O
found	O
in	O
sheltered	B-Distribution_descriptor
to	I-Distribution_descriptor
moderately	I-Distribution_descriptor
exposed	I-Distribution_descriptor
areas	I-Distribution_descriptor
down	I-Distribution_descriptor
to	I-Distribution_descriptor
20	I-Distribution_descriptor
m.	I-Distribution_descriptor
In	O
sites	O
where	O
the	O
species	O
co	O
-	O
occurred	O
,	O
R.	O
whero	O
was	O
less	O
associated	O
with	O
rock	B-Distribution_descriptor
