text	labels
MINISTRY	O
OF	O
COMMERCE	O
AND	O
INDUSTRY,	O
EGYPT	O
HYDROBIOLOGY	O
AND	O
FISHERIES	O
DIRECTORATE	O
NOTES	O
AND	O
MEMOIRS	O
No.	O
29	O
A	O
CHEMICAL	O
STUDY	O
OF	O
THE	O
EGYPTIAN	O
SARDINELLA	O
1.-VARIATION	O
IN	O
THE	O
FAT	O
CONTENT	O
OF	O
WHOLE	O
FISH,	O
FLESH,	O
AND	O
GONADS	O
BY	O
M.	O
K.	O
EL	O
SABY,	O
PH.D.	O
(Liverpool)	O
Scientific	O
Assistant,	O
Hydrobiology	O
and	O
Fisheries	O
Directorate,	O
Alexandria	O
CAIRO	O
GOVERNMENT	O
PRESS,	O
BULAQ	O
1937	O
MINISTRY	O
OF	O
COMMERCE	O
AND	O
INDUSTRY	O
A	O
Chemical	O
Study	O
of	O
the	O
Egyptian	O
Sardinella	O
-Variation	O
in	O
the	O
fat	O
content	O
of	O
whole	O
fish,	O
flesh,	O
and	O
gonads	O
BY	O
M.	O
K.	O
EL	O
SABY,	O
Ph.D.	O
(Liverpool)	O
Scientific	O
Assistant,	O
Hydrobiology	O
and	O
Fisheries	O
Directorate,	O
Alexandria	O
INTRODUCTION	O
Save	O
what	O
is	O
recorded	O
in	O
the	O
Fisheries	O
reports	O
issued	O
since	O
1920	O
by	O
the	O
Fisheries	O
Research	O
of	O
Egypt,	O
there	O
is	O
no	O
published	O
account	O
concerned	O
with	O
a	O
description	O
of	O
the	O
Egyptian	O
Sardine	O
Fishery,	O
and	O
for	O
this	O
reason	O
it	O
appears	O
to	O
me	O
to	O
be	O
desirable	O
to	O
write	O
a	O
short	O
note	O
on	O
this	O
fishery	O
as	O
regards	O
composition,	O
locality,	O
season,	O
annual	O
total	O
production,	O
importance,	O
etc.,	O
before	O
proceeding	O
to	O
discuss	O
the	O
chemical	O
aspect	O
of	O
the	O
subject.	O
Three	O
species	O
of	O
the	O
genus	O
Sardinella	O
compose	O
our	O
Sardine	O
Fishery,	O
of	O
which	O
the	O
S.	O
aurita	O
(allache)	O
constitutes	O
about	O
80	O
per	O
cent	O
of	O
the	O
total	O
production	O
;	O
the	O
remainder	O
consists	O
of	O
S.	O
eba	O
save	O
for	O
the	O
neg-	O
ligible	O
percentage	O
of	O
less	O
than	O
0.5	O
per	O
cent	O
of	O
S.	O
granigera.	O
S.	O
aurita	O
(Allache).	O
Migratory,	O
travels	O
in	O
big	O
shoals,	B-DISTRIBUTION_DESCRIPTOR
appears	O
in	O
considerable	O
quantities	O
about	O
two	O
to	O
five	O
weeks	O
time	O
after	O
the	O
flow	O
of	O
the	O
Nile	O
flood	O
reaches	O
the	O
Mediterranean.	O
At	O
the	O
time	O
of	O
its	O
first	O
appearance	O
the	O
fish	O
is	O
lean	O
and	O
exhausted	O
after	O
spawning	O
during	O
the	O
summer	O
months.	O
Some	O
of	O
the	O
fish	O
are	O
still	O
full,	O
but	O
these	O
form	O
a	O
very	O
small	O
percentage	O
of	O
the	O
total.	O
The	O
fish	O
start	O
to	O
feed	O
vigorously	O
on	O
the	O
Nile	B-DISTRIBUTION_DESCRIPTOR
mud	I-DISTRIBUTION_DESCRIPTOR
con-	I-DISTRIBUTION_DESCRIPTOR
tents	I-DISTRIBUTION_DESCRIPTOR
of	O
phytoplankton	O
and	O
on	O
the	O
swarms	B-DISTRIBUTION_DESCRIPTOR
of	I-DISTRIBUTION_DESCRIPTOR
the	I-DISTRIBUTION_DESCRIPTOR
marine	I-DISTRIBUTION_DESCRIPTOR
diatoms	I-DISTRIBUTION_DESCRIPTOR
