Adult,http:/www.marinespecies.org/traits/wiki/traits:Adult
Instar,http:/www.marinespecies.org/traits/wiki/traits:Instar
Juvenile,http:/www.marinespecies.org/traits/wiki/traits:Juvenile
Larva,http:/www.marinespecies.org/traits/wiki/traits:Larva
Actinula,http:/www.marinespecies.org/traits/wiki/traits:Actinula
Amphiblastula,http:/www.marinespecies.org/traits/wiki/traits:Amphiblastula
Ascidian tadpole,http:/www.marinespecies.org/traits/wiki/traits:Ascidian tadpole
Auricularia,http:/www.marinespecies.org/traits/wiki/traits:Auricularia
Bipinnaria,http:/www.marinespecies.org/traits/wiki/traits:Bipinnaria
Brachiolaria,http:/www.marinespecies.org/traits/wiki/traits:Brachiolaria
Conaria,http:/www.marinespecies.org/traits/wiki/traits:Conaria
Copepodid,http:/www.marinespecies.org/traits/wiki/traits:Copepodid (copepodite)
Coronate,http:/www.marinespecies.org/traits/wiki/traits:Coronate
Cydippid,http:/www.marinespecies.org/traits/wiki/traits:Cydippid
Cyphonautes,http:/www.marinespecies.org/traits/wiki/traits:Cyphonautes
Cyprid,http:/www.marinespecies.org/traits/wiki/traits:Cyprid (cypris)
Doliolaria,http:/www.marinespecies.org/traits/wiki/traits:Doliolaria
Echinopluteus,http:/www.marinespecies.org/traits/wiki/traits:Echinopluteus
Ephyra,http:/www.marinespecies.org/traits/wiki/traits:Ephyra
Glochidium,http:/www.marinespecies.org/traits/wiki/traits:Glochidium
Goette's larva,http:/www.marinespecies.org/traits/wiki/traits:Goette's larva
Megalopa,http:/www.marinespecies.org/traits/wiki/traits:Megalopa
Metanauplius,http:/www.marinespecies.org/traits/wiki/traits:Metanauplius
Mitraria,http:/www.marinespecies.org/traits/wiki/traits:Mitraria
Muller's larva,http:/www.marinespecies.org/traits/wiki/traits:Muller's larva
Nauplius,http:/www.marinespecies.org/traits/wiki/traits:Nauplius
Nectochaeta,http:/www.marinespecies.org/traits/wiki/traits:Nectochaeta
Ophiopluteus,http:/www.marinespecies.org/traits/wiki/traits:Ophiopluteus
Parenchymella,http:/www.marinespecies.org/traits/wiki/traits:Parenchymella
Pediveliger,http:/www.marinespecies.org/traits/wiki/traits:Pediveliger
Pelagosphaera,http:/www.marinespecies.org/traits/wiki/traits:Pelagosphaera
Pilidium,http:/www.marinespecies.org/traits/wiki/traits:Pilidium
Planula,http:/www.marinespecies.org/traits/wiki/traits:Planula
Protonymphon,http:/www.marinespecies.org/traits/wiki/traits:Protonymphon
Protozoea,http:/www.marinespecies.org/traits/wiki/traits:Protozoea
Rataria,http:/www.marinespecies.org/traits/wiki/traits:Rataria
Veliger,http:/www.marinespecies.org/traits/wiki/traits:Veliger
Zoea,http:/www.marinespecies.org/traits/wiki/traits:Zoea
